date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:24	87946/87946	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2022:13:38%20GMT	http://sbtechnosoft.com/foundation/images/what-we-do-img2.jpg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/what-we-do-img2.jpg	(from http://sbtechnosoft.com/foundation/)
15:46:24	6120/6120	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:14:20%20GMT	http://sbtechnosoft.com/foundation/images/choose-icon1.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/choose-icon1.png	(from http://sbtechnosoft.com/foundation/)
15:46:25	3617/3617	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:14:18%20GMT	http://sbtechnosoft.com/foundation/images/choose-icon2.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/choose-icon2.png	(from http://sbtechnosoft.com/foundation/)
15:46:25	4398/4398	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:14:18%20GMT	http://sbtechnosoft.com/foundation/images/choose-icon3.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/choose-icon3.png	(from http://sbtechnosoft.com/foundation/)
15:46:27	101333/101333	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2022:13:36%20GMT	http://sbtechnosoft.com/foundation/images/what-we-do-img3.jpg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/what-we-do-img3.jpg	(from http://sbtechnosoft.com/foundation/)
15:46:33	297806/297806	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2022:14:36%20GMT	http://sbtechnosoft.com/foundation/images/banner3.jpg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/banner3.jpg	(from http://sbtechnosoft.com/foundation/)
15:46:34	56838/56838	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2022:13:44%20GMT	http://sbtechnosoft.com/foundation/images/our-team1.jpg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/our-team1.jpg	(from http://sbtechnosoft.com/foundation/)
15:46:35	3454/3454	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:14:12%20GMT	http://sbtechnosoft.com/foundation/images/counter-icon1.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/counter-icon1.png	(from http://sbtechnosoft.com/foundation/)
15:46:35	2573/2573	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:14:10%20GMT	http://sbtechnosoft.com/foundation/images/counter-icon2.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/counter-icon2.png	(from http://sbtechnosoft.com/foundation/)
15:46:36	4603/4603	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:14:08%20GMT	http://sbtechnosoft.com/foundation/images/counter-icon3.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/counter-icon3.png	(from http://sbtechnosoft.com/foundation/)
15:46:37	6769/6769	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:13:42%20GMT	http://sbtechnosoft.com/foundation/images/testimonials1.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/testimonials1.png	(from http://sbtechnosoft.com/foundation/)
15:46:38	86469/86469	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2022:13:44%20GMT	http://sbtechnosoft.com/foundation/images/our-team2.jpg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/our-team2.jpg	(from http://sbtechnosoft.com/foundation/)
15:46:38	72368/72368	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2022:13:42%20GMT	http://sbtechnosoft.com/foundation/images/our-team3.jpg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/our-team3.jpg	(from http://sbtechnosoft.com/foundation/)
15:46:39	2851/2851	---M--	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2022:13:24%20GMT	http://sbtechnosoft.com/foundation/assets/jquery/plugins.js	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/jquery/plugins.js	(from http://sbtechnosoft.com/foundation/)
15:46:40	1373/1373	---M--	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2022:13:28%20GMT	http://sbtechnosoft.com/foundation/assets/jquery/jquery.animateNumber.min.js	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/jquery/jquery.animateNumber.min.js	(from http://sbtechnosoft.com/foundation/)
15:46:41	37051/37051	---M--	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2022:13:12%20GMT	http://sbtechnosoft.com/foundation/assets/bootstrap/js/bootstrap.min.js	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/bootstrap/js/bootstrap.min.js	(from http://sbtechnosoft.com/foundation/)
15:46:43	8416/8416	---M--	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2022:13:32%20GMT	http://sbtechnosoft.com/foundation/assets/wow/wow.min.js	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/wow/wow.min.js	(from http://sbtechnosoft.com/foundation/)
15:46:43	20219/20219	---M--	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2022:13:26%20GMT	http://sbtechnosoft.com/foundation/assets/jquery/jquery.magnific-popup.min.js	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/jquery/jquery.magnific-popup.min.js	(from http://sbtechnosoft.com/foundation/)
15:46:45	6446/6446	---M--	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2022:14:46%20GMT	http://sbtechnosoft.com/foundation/js/custom.js	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/js/custom.js	(from http://sbtechnosoft.com/foundation/)
15:46:47	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2018%20Apr%202018%2022:13:08%20GMT	http://sbtechnosoft.com/foundation/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://sbtechnosoft.com/foundation/assets/bootstrap/css/bootstrap.min.css)
15:46:47	86713/86713	---M--	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2022:13:30%20GMT	http://sbtechnosoft.com/foundation/assets/jquery/jquery-3.1.1.min.js	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/jquery/jquery-3.1.1.min.js	(from http://sbtechnosoft.com/foundation/)
15:46:48	18028/18028	---M--	200	added ('OK')	font/woff2	date:Wed,%2018%20Apr%202018%2022:13:06%20GMT	http://sbtechnosoft.com/foundation/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from http://sbtechnosoft.com/foundation/assets/bootstrap/css/bootstrap.min.css)
15:46:51	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2018%20Apr%202018%2022:13:08%20GMT	http://sbtechnosoft.com/foundation/assets/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://sbtechnosoft.com/foundation/assets/bootstrap/css/bootstrap.min.css)
